,state,tot_cases,new_case,tot_death
683,VA,2,2.0,0
684,NH,5450,0.0,331
685,PW,0,0.0,0
686,PR,19324,533.0,237
687,CO,104426,2412.0,2278
688,CA,769831,3630.0,14812
689,FL,1542567,10737.0,24137
690,OH,520112,10094.0,7187
691,IN,0,0.0,0
692,FSM,0,0.0,0
693,VA,210788,1954.0,3896
694,NV,0,0.0,0
695,AZ,636100,8559.0,10482
696,MI,40399,1137.0,3670
697,WY,3684,50.0,37
698,FSM,0,0.0,0
699,VA,75433,1002.0,2013
700,RMI,0,0.0,0
701,VI,0,0.0,0
702,ID,2803,34.0,82
703,WY,30761,0.0,215
704,KY,35793,539.0,783
705,FSM,0,0.0,0
706,ME,5902,37.0,145
707,AK,3711,98.0,26
708,VA,0,0.0,0
709,NH,56864,919.0,933
710,GU,1846,133.0,21
711,AS,3,0.0,0
712,AL,17649,327.0,620
713,AZ,801055,1315.0,15063
714,OR,26554,261.0,458
715,DE,9746,34.0,386
716,WA,11445,293.0,603
717,OR,0,0.0,0
718,CO,8,0.0,0
719,RMI,0,0.0,0
720,AS,0,0.0,0
721,RMI,1,0.0,0
722,TX,1581668,7780.0,25348
723,VI,51,0.0,1
724,GA,147804,2766.0,3176
725,RI,12951,156.0,532
726,CA,2345909,53341.0,26357
727,HI,597,1.0,14
728,MP,38,0.0,2
729,MA,124081,1826.0,8804
730,NJ,192380,445.0,15943
731,HI,629,1.0,17
732,SD,107380,200.0,1705
733,KS,26172,1063.0,335
734,WV,20734,215.0,413
735,HI,25742,30.0,415
736,ME,0,0.0,0
737,OH,0,0.0,0
738,MA,125159,431.0,8901
739,MN,0,0.0,0
740,NE,145774,1850.0,1329
741,PW,0,0.0,0
742,ME,4144,29.0,127
743,PA,194288,1666.0,8666
744,MD,116110,577.0,3838
745,ND,1647,76.0,40
746,FSM,0,0.0,0
747,MT,426,4.0,10
748,NY,25745,3193.0,119
749,AZ,46689,3246.0,1312
750,AS,3,0.0,0
751,DE,319,55.0,10
752,SC,118971,1121.0,2777
753,OH,941265,1915.0,16394
754,FSM,0,0.0,0
755,SD,8143,66.0,121
756,NYC,248885,652.0,23873
757,VI,1190,9.0,17
758,AK,3775,64.0,26
759,MT,8663,4.0,123
760,GA,14819,686.0,579
761,CT,235796,1662.0,6774
762,AL,0,0.0,0
763,KS,7468,0.0,164
764,OR,147932,513.0,2031
765,ME,0,0.0,0
766,FSM,0,0.0,0
767,CA,586056,11645.0,10648
768,MI,47552,414.0,4584
769,AL,0,0.0,0
770,MD,320739,2924.0,6494
771,AL,343458,1032.0,4685
772,PA,149845,1162.0,7956
773,NC,309118,3885.0,4756
774,FL,0,0.0,0
775,SD,80912,448.0,948
776,WY,776,10.0,10
777,GA,54011,1101.0,2375
778,ID,2769,38.0,82
779,NYC,162212,2347.0,17866
780,NH,18776,0.0,514
781,LA,182603,0.0,5820
782,AR,3747,82.0,88
783,MI,0,0.0,0
784,NH,20480,478.0,526
785,NJ,522259,5287.0,18952
786,WA,139543,2132.0,2619
787,KS,74456,1488.0,952
788,FL,720001,0.0,15186
789,DE,44876,1840.0,815
790,DC,39180,49.0,985
791,FSM,0,0.0,0
792,NM,10694,129.0,469
793,MA,108,13.0,0
794,AZ,143624,2359.0,2761
795,IL,712936,7873.0,12838
796,CA,22348,554.0,687
797,PR,0,0.0,0
798,GU,172,0.0,5
799,OH,43731,609.0,2667
800,MN,391889,2718.0,4782
801,WI,175227,0.0,1588
802,OR,2177,50.0,86
803,MO,0,0.0,0
804,NV,23137,491.0,560
805,WY,53900,105.0,662
806,ID,4006,0.0,89
807,SD,51151,1360.0,482
808,MN,85351,402.0,1979
809,AR,93487,654.0,1586
810,NH,11448,128.0,483
811,PA,683389,9474.0,16914
812,MA,324746,3760.0,11714
813,ME,5079,44.0,140
814,GA,0,0.0,0
815,GA,3,1.0,0
816,TX,3,3.0,0
817,MS,215811,2756.0,4787
818,RMI,0,0.0,0
819,MA,115637,363.0,8529
820,NY,0,0.0,0
821,MS,151785,1845.0,3806
822,KS,122741,7234.0,1266
823,OH,150009,1115.0,4740
824,AZ,209907,698.0,5371
825,WA,1,0.0,0
826,AR,0,0.0,0
827,MO,670,168.0,9
828,MI,0,0.0,0
829,MA,50969,4946.0,2556
830,VA,0,0.0,0
831,NY,0,0.0,0
832,SD,80464,564.0,946
833,RI,12016,181.0,468
834,AL,429655,3112.0,6283
835,WA,77235,399.0,1953
836,PR,2427,98.0,117
837,ID,29120,424.0,298
838,NV,57198,742.0,991
839,NH,6921,34.0,422
840,PR,31,8.0,2
841,PA,141290,931.0,7805
842,AK,0,0.0,0
843,WA,73879,578.0,1905
844,ME,0,0.0,0
845,OH,363304,11885.0,6020
846,ND,31978,717.0,404
847,MI,118403,1212.0,6810
848,NYC,392985,4089.0,24768
849,PA,3394,642.0,38
850,GU,346,9.0,5
851,NM,5364,152.0,231
852,MP,31,0.0,2
853,SD,0,0.0,0
854,MI,0,0.0,0
